name,type,typecode,address,cityname,adname,longitude,latitude,location,tel,pname,id
瑞幸咖啡,餐饮服务;餐饮相关场所;餐饮相关,050000,文园路68号之107号,厦门市,思明区,118.100589,24.461478,"118.100589,24.461478",4000100100,福建省,B0L6HP961O
luckin coffee 瑞幸咖啡(禾祥首府店),餐饮服务;餐饮相关场所;餐饮相关,050000,湖滨西路72-10-106号,厦门市,思明区,118.079196,24.463337,"118.079196,24.463337",4000100100,福建省,B0L6KZOYQO
瑞幸咖啡(长青路店),餐饮服务;咖啡厅;咖啡厅,050500,长青路115号之9-10沿街商铺,厦门市,思明区,118.123268,24.486330,"118.123268,24.486330",4000100100,福建省,B0LG2HE4UO
瑞幸咖啡(江头西路店),餐饮服务;咖啡厅;咖啡厅,050500,江头西路江宁里(吕厝地铁站8号口步行360米),厦门市,湖里区,118.130631,24.492718,"118.130631,24.492718",4000100100,福建省,B0KRGZQ8BS
瑞幸咖啡(港航大厦店),餐饮服务;咖啡厅;咖啡厅,050500,东港北路29号港航大厦一层大堂,厦门市,湖里区,118.076795,24.483833,"118.076795,24.483833",4000100100,福建省,B0FFM49OS7
瑞幸咖啡(厦门地铁大厦店),餐饮服务;咖啡厅;咖啡厅,050500,湖滨中路86-88号厦门地铁大厦,厦门市,思明区,118.101826,24.471233,"118.101826,24.471233",4000100100,福建省,B0KRTNSRWE
瑞幸咖啡(银行中心店),餐饮服务;咖啡厅;咖啡厅,050500,厦禾路189号银行中心一层,厦门市,思明区,118.078934,24.460310,"118.078934,24.460310",4000100100,福建省,B0GD3K1YNH
瑞幸咖啡(厦门东方时代广场店),餐饮服务;咖啡厅;咖啡厅,050500,鹭江街道湖滨西路10号东方时代广场一层106号,厦门市,思明区,118.079520,24.461439,"118.079520,24.461439",4000100100,福建省,B0KU4MZMB0
瑞幸咖啡(厦门五一广场店),餐饮服务;咖啡厅;咖啡厅,050500,体育路95号文化艺术中心工人体育馆负一层50014-1145号铺,厦门市,思明区,118.111014,24.489818,"118.111014,24.489818",4000100100,福建省,B0I3TLIJ4V
瑞幸咖啡(中山路旗舰店),餐饮服务;餐饮相关场所;餐饮相关,050000,中山路36-48号,厦门市,思明区,118.076571,24.453428,"118.076571,24.453428",[],福建省,B0L627SIT6
瑞幸咖啡(中华城店),餐饮服务;咖啡厅;咖啡厅,050500,思明南路127号中华城北区一层30号铺,厦门市,思明区,118.081980,24.453183,"118.081980,24.453183",4000100100,福建省,B0IG9S9MEW
瑞幸咖啡(斗西路美食街店),餐饮服务;餐饮相关场所;餐饮相关,050000,禾祥西路41-101号,厦门市,思明区,118.085692,24.464771,"118.085692,24.464771",4000100100,福建省,B0K35M6JM5
luckin coffee 瑞幸咖啡(厦门筼筜天虹购物中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,莲岳路221号天虹购物中心厦门筼筜店,厦门市,思明区,118.114249,24.491699,"118.114249,24.491699",4000100100,福建省,B0KK7AAFWY
