name,type,typecode,address,cityname,adname,longitude,latitude,location,tel,pname,id,lon_wgs84,lat_wgs84
瑞幸咖啡,餐饮服务;餐饮相关场所;餐饮相关,050000,文园路68号之107号,厦门市,思明区,118.100589,24.461478,"118.100589,24.461478",4000100100,福建省,B0L6HP961O,118.09561680436344,24.464120109977134
luckin coffee 瑞幸咖啡(禾祥首府店),餐饮服务;餐饮相关场所;餐饮相关,050000,湖滨西路72-10-106号,厦门市,思明区,118.079196,24.463337,"118.079196,24.463337",4000100100,福建省,B0L6KZOYQO,118.0742221833061,24.46598733728365
瑞幸咖啡(长青路店),餐饮服务;咖啡厅;咖啡厅,050500,长青路115号之9-10沿街商铺,厦门市,思明区,118.123268,24.48633,"118.123268,24.486330",4000100100,福建省,B0LG2HE4UO,118.11831881376408,24.48898915867408
瑞幸咖啡(江头西路店),餐饮服务;咖啡厅;咖啡厅,050500,江头西路江宁里(吕厝地铁站8号口步行360米),厦门市,湖里区,118.130631,24.492818,"118.130631,24.492818",4000100100,福建省,B0KRGZQ8BS,118.12569382880218,24.4954864082418
瑞幸咖啡(厦门地铁大厦店),餐饮服务;咖啡厅;咖啡厅,050500,湖滨中路86-88号厦门地铁大厦,厦门市,思明区,118.101826,24.471233,"118.101826,24.471233",4000100100,福建省,B0KRTNSRWE,118.09685386570726,24.47387695813907
瑞幸咖啡(银行中心店),餐饮服务;咖啡厅;咖啡厅,050500,厦禾路189号银行中心一层,厦门市,思明区,118.078934,24.46031,"118.078934,24.460310",4000100100,福建省,B0GD3K1YNH,118.07396052182352,24.46296002576291
瑞幸咖啡(中山路旗舰店),餐饮服务;餐饮相关场所;餐饮相关,050000,中山路36-48号,厦门市,思明区,118.076571,24.453428,"118.076571,24.453428",[],福建省,B0L627SIT6,118.0715992583575,24.456078936613622
瑞幸咖啡(中华城店),餐饮服务;咖啡厅;咖啡厅,050500,思明南路127号中华城北区一层30号铺,厦门市,思明区,118.08198,24.453183,"118.081980,24.453183",4000100100,福建省,B0IG9S9MEW,118.07700583692254,24.455829312611048
luckin coffee 瑞幸咖啡(厦门筼筜天虹购物中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,莲岳路221号天虹购物中心厦门筼筜店,厦门市,思明区,118.114249,24.491699,"118.114249,24.491699",4000100100,福建省,B0KK7AAFWY,118.10928693039773,24.494351398843445
瑞幸咖啡(港航大厦店),餐饮服务;咖啡厅;咖啡厅,050500,东港北路29号港航大厦一层大堂,厦门市,湖里区,118.076795,24.483833,"118.076795,24.483833",4000100100,福建省,B0FFM49OS7,118.07182094270581,24.486488902965107
瑞幸咖啡(斗西路美食街店),餐饮服务;咖啡厅;咖啡厅,050500,禾祥西路41-101号,厦门市,思明区,118.085678,24.464674,"118.085678,24.464674",4000100100,福建省,B0K35M6JM5,118.08070217048505,24.467320006673912
瑞幸咖啡(海上世界购物中心店),餐饮服务;咖啡厅;咖啡厅,050500,远航路77号厦门海上世界3层L311室,厦门市,湖里区,118.076646,24.490895,"118.076646,24.490895",4000100100,福建省,B0I36C6K31,118.07167152041032,24.493552121724452
瑞幸咖啡(厦门五一广场店),餐饮服务;咖啡厅;咖啡厅,050500,体育路95号文化艺术中心工人体育馆负一层50014-1145号铺,厦门市,思明区,118.111014,24.489818,"118.111014,24.489818",4000100100,福建省,B0I3TLIJ4V,118.10604840112119,24.492468156185396
瑞幸咖啡(莲花路口店),餐饮服务;咖啡厅;咖啡厅,050500,嘉禾路211号109单元底商(莲花路口地铁站1B口旁)苏宁,厦门市,思明区,118.122125,24.483375,"118.122125,24.483375",4000100100,福建省,B0I0PNYE3G,118.11717426483135,24.486032579199954
瑞幸咖啡(厦门东方时代广场店),餐饮服务;咖啡厅;咖啡厅,050500,湖滨西路10号东方时代购物广场,厦门市,思明区,118.07952,24.461439,"118.079520,24.461439",4000100100,福建省,B0KU4MZMB0,118.07454617493421,24.464088729255934
瑞幸咖啡(禾祥东路万象城店),餐饮服务;咖啡厅;咖啡厅,050500,金榜路100-18号底商,厦门市,思明区,118.110366,24.470656,"118.110366,24.470656",4000100100,福建省,B0FFK9RU7O,118.10540109936785,24.473302762884497
瑞幸咖啡(厦门中心店),餐饮服务;咖啡厅;咖啡厅,050500,海沧大道569号厦门中心F座F1层,厦门市,海沧区,118.039475,24.474846,"118.039475,24.474846",4000100100,福建省,B0I2CK6XF7,118.0345544414666,24.477565027573963
瑞幸咖啡(文灶宝龙天地店),餐饮服务;咖啡厅;咖啡厅,050500,湖滨中路88-101号(文灶地铁站6号口步行140米),厦门市,思明区,118.102542,24.469642,"118.102542,24.469642",4000100100,福建省,B0K6NB4AQM,118.09757045453365,24.472285814956955
瑞幸咖啡(厦门创新创业园店),餐饮服务;咖啡厅;咖啡厅,050500,火炬高新园火炬东路11号创新创业园伟业楼南楼一层大堂,厦门市,湖里区,118.131503,24.517906,"118.131503,24.517906",4000100100,福建省,B0FFJGHB9D,118.12656563014562,24.520578882927854
瑞幸咖啡(七星大厦店),餐饮服务;咖啡厅;咖啡厅,050500,七星西路178号七星大厦一层大堂,厦门市,思明区,118.096575,24.488405,"118.096575,24.488405",4000100100,福建省,B0KGKZWGHB,118.09159889120075,24.491051460414944
瑞幸咖啡(莲花路口店),餐饮服务;咖啡厅;咖啡厅,050500,嘉禾路211号109单元底商(莲花路口地铁站1B口旁),厦门市,思明区,118.122123,24.483366,"118.122123,24.483366",4000100100,福建省,B0FFJFLVEL,118.11717226243952,24.486023575870874
瑞幸咖啡(自贸金融中心店),餐饮服务;咖啡厅;咖啡厅,050500,屿南四路1-9号自贸金融中心B座一层101号,厦门市,湖里区,118.090575,24.514101,"118.090575,24.514101",4000100100,福建省,B0FFJ93FZQ,118.08559553517507,24.516752245150826
luckin coffee 瑞幸咖啡(新景华府店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,双浦东里20-30号新景华府1期,厦门市,湖里区,118.140934,24.495414,"118.140934,24.495414",4000100100,福建省,B0LANKLDEG,118.13601703637339,24.49809706789968
瑞幸咖啡,餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,小学路与锦里中路交叉口东40米,厦门市,海沧区,117.994832,24.467512,"117.994832,24.467512",4000100100,福建省,B0L10ODUFI,117.99002984870566,24.470356882898606
luckin coffee 瑞幸咖啡(古城东路店),餐饮服务;咖啡厅;咖啡厅,050500,古城东路与中山路交叉口东南20米,厦门市,思明区,118.084623,24.454965,"118.084623,24.454965",4000100100,福建省,B0L0SAJBZI,118.0796480397082,24.45760988315152
瑞幸咖啡(浦南壹里店),餐饮服务;咖啡厅;咖啡厅,050500,浦南二路13-1-120号底商,厦门市,思明区,118.130346,24.473208,"118.130346,24.473208",4000100100,福建省,B0JRVBL40N,118.12540971692961,24.475872987385078
瑞幸咖啡(深田国际大厦店),餐饮服务;餐饮相关场所;餐饮相关,050000,深田路46号深田国际大厦一层大堂,厦门市,思明区,118.09211,24.458586,"118.092110,24.458586",4000100100,福建省,B0FFJAVJEI,118.08713474990539,24.461228272249866
瑞幸咖啡(鹭港万达广场店),餐饮服务;咖啡厅;咖啡厅,050500,长浩东路29号鹭港万达室内步行街1号门侧一层1096号铺,厦门市,湖里区,118.109168,24.521591,"118.109168,24.521591",4000100100,福建省,B0IK27M05U,118.10419822691134,24.524244495882794
瑞幸咖啡(嘉禾新天地店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,火炬路1号嘉禾新天地(火炬园地铁站4号口步行90米),厦门市,湖里区,118.119125,24.513075,"118.119125,24.513075",4000100100,福建省,B0LRMYXXBE,118.11416774724493,24.515734062640586
瑞幸咖啡(莲坂外图店),餐饮服务;咖啡厅;咖啡厅,050500,美迪斯小区西门旁(莲坂地铁站3号口步行70米),厦门市,思明区,118.117947,24.476409,"118.117947,24.476409",4000100100,福建省,B0JKRMS92N,118.1129907584999,24.479061761751407
瑞幸咖啡(镇海路店),餐饮服务;咖啡厅;咖啡厅,050500,思明南路181号一楼,厦门市,思明区,118.082899,24.451422,"118.082899,24.451422",4000100100,福建省,B0GD3N13TJ,118.07792469185945,24.454067337711805
瑞幸咖啡(正元新都汇店),餐饮服务;咖啡厅;咖啡厅,050500,滨湖一里208号正元新都汇一层103号,厦门市,海沧区,118.031698,24.476728,"118.031698,24.476728",4000100100,福建省,B0J30L9AFZ,118.02679506098507,24.479466948918684
瑞幸咖啡(海投大厦店),餐饮服务;咖啡厅;咖啡厅,050500,钟林路12号海投大厦一层105号铺,厦门市,海沧区,118.028979,24.486482,"118.028979,24.486482",4000100100,福建省,B0I1R1C147,118.02408198214114,24.489229719562484
瑞幸咖啡(厦门中山路步行街店),餐饮服务;咖啡厅;咖啡厅,050500,中山路步行街185号,厦门市,思明区,118.081087,24.45411,"118.081087,24.454110",4000100100,福建省,B0I0ZH9T0B,118.07611307405826,24.456757149245224
瑞幸咖啡(豪利思城店),餐饮服务;咖啡厅;咖啡厅,050500,悦华路151号2号办公楼一层17-1号,厦门市,湖里区,118.113228,24.515174,"118.113228,24.515174",4000100100,福建省,B0JULZCUQW,118.10826303649965,24.51782894297667
瑞幸咖啡(宏泰中心店),餐饮服务;餐饮相关场所;餐饮相关,050000,湖滨东路309号宏泰中心大堂二层,厦门市,思明区,118.104375,24.485825,"118.104375,24.485825",4000100100,福建省,B0FFJO5IAB,118.09940361368425,24.48847185073828
luckin coffee 瑞幸咖啡(厦门雀氏财富中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,太鲁阁路与花莲路交叉口东北40米,厦门市,思明区,118.195236,24.485577,"118.195236,24.485577",4000100100,福建省,B0I12Y24GA,118.19045065080306,24.488355861293748
瑞幸咖啡(厦门轮渡店),餐饮服务;咖啡厅;咖啡厅,050500,开元路2-2号轮渡公交场站候车厅一层,厦门市,思明区,118.073644,24.456145,"118.073644,24.456145",4000100100,福建省,B0GD3Y2UPK,118.06867397811494,24.458799458924766
瑞幸咖啡(华夏大酒店店),餐饮服务;咖啡厅;咖啡厅,050500,厦禾路935-939号华夏大酒店一层大堂,厦门市,思明区,118.117065,24.4712,"118.117065,24.471200",4000100100,福建省,B0GD3G2744,118.11210795359491,24.473851199526518
luckin coffee 瑞幸咖啡(磐基名品中心店),餐饮服务;咖啡厅;咖啡厅,050500,嘉禾路197-199号LG01D商铺,厦门市,思明区,118.121179,24.482871,"118.121179,24.482871",4000100100,福建省,B0FFLA7WJU,118.116226881148,24.48552760616586
瑞幸咖啡(皇达大厦店),餐饮服务;咖啡厅;咖啡厅,050500,梧村街道后埭溪路皇达大厦304号底商,厦门市,思明区,118.106032,24.472052,"118.106032,24.472052",4000100100,福建省,B0K6CL5D01,118.10106293404942,24.474697143347804
瑞幸咖啡(融信中心店),餐饮服务;咖啡厅;咖啡厅,050500,坪山南里64号融信中心一层大堂,厦门市,海沧区,118.060456,24.495551,"118.060456,24.495551",4000100100,福建省,B0FFK22K76,118.05549681452128,24.49823013350639
瑞幸咖啡(新景中心店),餐饮服务;咖啡厅;咖啡厅,050500,嘉禾路21号新景中心A栋一层109室,厦门市,思明区,118.120409,24.479885,"118.120409,24.479885",4000100100,福建省,B0FFJ2I4UJ,118.1154559654314,24.482540429824507
瑞幸咖啡(海翼大厦店),餐饮服务;咖啡厅;咖啡厅,050500,厦禾路666海翼大厦A座F1层,厦门市,思明区,118.094595,24.463122,"118.094595,24.463122",4000100100,福建省,B0J10S9S3W,118.08962002054645,24.465764550623355
瑞幸咖啡(亿力大厦店),餐饮服务;咖啡厅;咖啡厅,050500,湖滨西路9号亿力大厦一层大堂,厦门市,思明区,118.078822,24.461814,"118.078822,24.461814",4000100100,福建省,B0FFJI2XTS,118.07384846639518,24.464464389904858
瑞幸咖啡(厦门SM一期城市广场店),餐饮服务;咖啡厅;咖啡厅,050500,嘉禾路436号,厦门市,湖里区,118.127214,24.501016,"118.127214,24.501016",4000100100,福建省,B0H0BX51HA,118.12227021078095,24.50368152108372
瑞幸咖啡(厦门财富中心店),餐饮服务;咖啡厅;咖啡厅,050500,鹭江道100号厦门财富中心一层大堂,厦门市,思明区,118.072934,24.45793,"118.072934,24.457930",4000100100,福建省,B0FFJ1UVI7,118.06796437682067,24.46058557359105
瑞幸咖啡(厦大学生公寓店),餐饮服务;咖啡厅;咖啡厅,050500,曾厝埯北二路105号厦大学生公寓8号楼一层115号,厦门市,思明区,118.116729,24.438155,"118.116729,24.438155",4000100100,福建省,B0FFKSED71,118.11177388485201,24.44079986598817
瑞幸咖啡(海沧海富路步行街店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,腾龙商厦西门旁,厦门市,海沧区,118.035838,24.493636,"118.035838,24.493636",4000100100,福建省,B0L3MULORW,118.03092417360621,24.49636691082787
瑞幸咖啡,餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,下土楼路与崎头东路交叉口西北60米,厦门市,海沧区,117.92426,24.551802,"117.924260,24.551802",4000100100,福建省,B0KKBXV47A,117.91959413467238,24.554817198617844
luckin coffee 瑞幸咖啡(医学院校外学生街店),餐饮服务;餐饮相关场所;餐饮相关,050000,安东路99号130号,厦门市,集美区,118.00362,24.610296,"118.003620,24.610296",4000100100,福建省,B0LU1SDCIN,117.99878272293209,24.61312891371139
瑞幸咖啡(厦门悦享中心店),餐饮服务;咖啡厅;咖啡厅,050500,松岳路6号悦享中心A塔一层大堂,厦门市,思明区,118.113285,24.494174,"118.113285,24.494174",4000100100,福建省,B0FFKQR8XK,118.10832161346484,24.496826134396365
瑞幸咖啡(厦门禹悦汇店),餐饮服务;咖啡厅;咖啡厅,050500,厦禾路888号禹洲世贸商城A区底商,厦门市,思明区,118.113966,24.468205,"118.113966,24.468205",4000100100,福建省,B0IKU7DCA4,118.10900528055943,24.47085346453026
瑞幸咖啡(厦门双子塔大师店),餐饮服务;咖啡厅;咖啡厅,050500,演武西路183号世茂双子塔沿街底商106号,厦门市,思明区,118.089082,24.436177,"118.089082,24.436177",4000100100,福建省,B0KR0XO22E,118.08410804107756,24.43881601381482
