id,name,type,typecode,address,adname,longitude,latitude,location
BX09909999,邮轮中心地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.076048,24.485302,"118.076048,24.485302"
BX09910000,邮轮中心地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.076307,24.485357,"118.076307,24.485357"
BX09916020,邮轮中心地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.077249,24.485848,"118.077249,24.485848"
BX09909996,邮轮中心地铁站6号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.07722,24.48444,"118.077220,24.484440"
BX09909964,中山公园地铁站1号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.089121,24.454972,"118.089121,24.454972"
BX09909963,中山公园地铁站2号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.089563,24.454824,"118.089563,24.454824"
BX09909966,中山公园地铁站3A口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.089511,24.456559,"118.089511,24.456559"
BX10024783,镇海路地铁站3B口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.083865,24.451244,"118.083865,24.451244"
BX10024143,镇海路地铁站2号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.084135,24.450987,"118.084135,24.450987"
BX09916232,镇海路地铁站出入口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.083573,24.451283,"118.083573,24.451283"
BX09909965,中山公园地铁站4号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.090558,24.455936,"118.090558,24.455936"
BX10024782,镇海路地铁站3A口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.082989,24.451171,"118.082989,24.451171"
BX09909962,中山公园地铁站3B口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.090289,24.456728,"118.090289,24.456728"
BX10024142,镇海路地铁站1号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.082028,24.45024,"118.082028,24.450240"
BX10028374,建业路地铁站4号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.084266,24.477834,"118.084266,24.477834"
BX10028737,建业路地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.082757,24.477796,"118.082757,24.477796"
BX10028738,建业路地铁站1B口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.084243,24.478249,"118.084243,24.478249"
BX10028375,建业路地铁站1A口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.083439,24.478185,"118.083439,24.478185"
BX09909997,邮轮中心地铁站3号口,交通设施服务;地铁站;出入口,150501,2号线,湖里区,118.077576,24.484426,"118.077576,24.484426"
BX10028384,湖滨中路地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.094302,24.480649,"118.094302,24.480649"
BX10028381,湖滨中路地铁站2号口,交通设施服务;地铁站;出入口,150501,2号线,思明区,118.094596,24.480327,"118.094596,24.480327"
BX09909991,将军祠地铁站2号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.099776,24.460387,"118.099776,24.460387"
BX09909992,将军祠地铁站4号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.100662,24.461121,"118.100662,24.461121"
BX09909993,将军祠地铁站3号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.100001,24.461073,"118.100001,24.461073"
BX09909990,将军祠地铁站1号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.099223,24.460719,"118.099223,24.460719"
BX09909985,文灶地铁站8号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.103159,24.469148,"118.103159,24.469148"
BX09916062,文灶地铁站6号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.103406,24.468691,"118.103406,24.468691"
BX09917879,文灶地铁站出入口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.103858,24.468601,"118.103858,24.468601"
BX09909982,文灶地铁站4号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.103499,24.468174,"118.103499,24.468174"
BX09909984,文灶地铁站1号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.103507,24.466444,"118.103507,24.466444"
BX09909981,文灶地铁站2号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.104395,24.466328,"118.104395,24.466328"
BX10024124,湖滨东路地铁站2号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.108659,24.473231,"118.108659,24.473231"
BX10024777,湖滨东路地铁站1号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.109044,24.47381,"118.109044,24.473810"
BX09918645,湖滨东路地铁站1通道口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.109098,24.474116,"118.109098,24.474116"
BX10024778,湖滨东路地铁站1B口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.109792,24.474006,"118.109792,24.474006"
BX10024125,湖滨东路地铁站4号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.110538,24.473749,"118.110538,24.473749"
BX09918695,湖滨东路地铁站4通道口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.110538,24.473464,"118.110538,24.473464"
BX09918646,湖滨东路地铁站2通道口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.110538,24.473464,"118.110538,24.473464"
BX10024123,湖滨东路地铁站6号口,交通设施服务;地铁站;出入口,150501,1号线,思明区,118.111758,24.47353,"118.111758,24.473530"
BX10032876,湖滨东路地铁站5B口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.110396,24.475841,"118.110396,24.475841"
BX10032878,湖滨东路地铁站5A口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.110722,24.475332,"118.110722,24.475332"
BX10032877,湖滨东路地铁站10号口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.111366,24.474919,"118.111366,24.474919"
BX10032850,体育中心地铁站5号口,交通设施服务;地铁站;出入口,150501,2号线;3号线,思明区,118.10481,24.48541,"118.104810,24.485410"
BX10032845,人才中心地铁站2号口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.103732,24.488747,"118.103732,24.488747"
BX09916211,人才中心地铁站1号口无障碍电梯,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.103245,24.488919,"118.103245,24.488919"
BX10033177,体育中心地铁站6号口,交通设施服务;地铁站;出入口,150501,2号线;3号线,思明区,118.105645,24.48489,"118.105645,24.484890"
BX10032844,人才中心地铁站3号口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.102654,24.489976,"118.102654,24.489976"
BX10032849,体育中心地铁站1号口,交通设施服务;地铁站;出入口,150501,2号线;3号线,思明区,118.105458,24.484036,"118.105458,24.484036"
BX10033175,人才中心地铁站4号口,交通设施服务;地铁站;出入口,150501,3号线,思明区,118.103561,24.490349,"118.103561,24.490349"
