id,name,type,typecode,address,adname,longitude,latitude,location
BV10946720,邮轮中心(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,湖里区,118.077155,24.484959,"118.077155,24.484959"
BV11452450,沙坡尾(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.085345,24.442165,"118.085345,24.442165"
BV09405160,厦门大学(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.092194,24.435484,"118.092194,24.435484"
BV10677771,中山公园(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.089851,24.455683,"118.089851,24.455683"
BV10677773,镇海路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.082837,24.450496,"118.082837,24.450496"
BV10946731,建业路(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,思明区,118.083597,24.478032,"118.083597,24.478032"
BV10946717,湖滨中路(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,思明区,118.094744,24.480508,"118.094744,24.480508"
BV09405162,白城(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.108806,24.430227,"118.108806,24.430227"
BV10677768,将军祠(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.099835,24.460767,"118.099835,24.460767"
BV10677759,文灶(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.103441,24.467703,"118.103441,24.467703"
BV10677762,湖滨东路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线;3号线,思明区,118.110656,24.474027,"118.110656,24.474027"
BV10873272,人才中心(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,思明区,118.103277,24.489196,"118.103277,24.489196"
BV10873278,体育中心(地铁站),交通设施服务;地铁站;地铁站,150500,2号线;3号线,思明区,118.105603,24.484551,"118.105603,24.484551"
BV10873265,湖里公园(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,湖里区,118.105518,24.506732,"118.105518,24.506732"
BV10873268,华荣路(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,湖里区,118.109289,24.511515,"118.109289,24.511515"
BV09405161,上李(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.122044,24.437808,"118.122044,24.437808"
BV11452451,曾厝垵(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.121079,24.430778,"118.121079,24.430778"
BV10873263,厦门火车站(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段;3号线,思明区,118.114674,24.469258,"118.114674,24.469258"
BV10677764,莲坂(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.118196,24.476107,"118.118196,24.476107"
BV10677770,莲花路口(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.122857,24.483483,"118.122857,24.483483"
BV10677766,吕厝(地铁站),交通设施服务;地铁站;地铁站,150500,1号线;2号线,湖里区,118.127959,24.49068,"118.127959,24.490680"
BV10946721,育秀东路(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,思明区,118.113059,24.485516,"118.113059,24.485516"
BV10677778,塘边(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,湖里区,118.122619,24.506304,"118.122619,24.506304"
BV10677777,乌石浦(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.126403,24.498734,"118.126403,24.498734"
BV10873269,小东山(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,湖里区,118.125966,24.514116,"118.125966,24.514116"
