id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
BV10946720,邮轮中心(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,湖里区,118.077155,24.484959,"118.077155,24.484959",118.07218065877302,24.487614735817782
BV11452450,沙坡尾(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.085345,24.442165,"118.085345,24.442165",118.08037083686783,24.444807029277154
BV09405160,厦门大学(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.092194,24.435484,"118.092194,24.435484",118.0872204258711,24.43812183349614
BV10677771,中山公园(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.089851,24.455683,"118.089851,24.455683",118.08487567757729,24.458325465844723
BV10677773,镇海路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.082837,24.450496,"118.082837,24.450496",118.07786277544268,24.45314120660074
BV10946731,建业路(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,思明区,118.083597,24.478032,"118.083597,24.478032",118.0786205994679,24.480681507047308
BV10946717,湖滨中路(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,思明区,118.094744,24.480508,"118.094744,24.480508",118.08976781496781,24.48315343722476
BV09405162,白城(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)3号线南延段,思明区,118.108806,24.430227,"118.108806,24.430227",118.1038424437058,24.432865411330628
BV10677768,将军祠(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.099835,24.460767,"118.099835,24.460767",118.09486242588925,24.46340891603334
BV10677759,文灶(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,思明区,118.103441,24.467703,"118.103441,24.467703",118.0984702234824,24.470346672862213
BV10677762,湖滨东路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线;3号线,思明区,118.110656,24.474027,"118.110656,24.474027",118.1056911588689,24.476674476702932
BV10873272,人才中心(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,思明区,118.103277,24.489196,"118.103277,24.489196",118.09830455963079,24.4918430946137
BV10873278,体育中心(地铁站),交通设施服务;地铁站;地铁站,150500,2号线;3号线,思明区,118.105603,24.484551,"118.105603,24.484551",118.10063267872422,24.487198015332886
BV10873265,湖里公园(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,湖里区,118.105518,24.506732,"118.105518,24.506732",118.10054601265604,24.509382187626827
