id,name,type,typecode,address,adname,longitude,latitude,location
B0FFFZXNN7,海关宿舍(田尾路),商务住宅;住宅区;宿舍,120303,中华路4号,思明区,118.070543,24.439313,"118.070543,24.439313"
B0FFGJXWIB,绿雅居,商务住宅;住宅区;住宅小区,120302,漳州路28号,思明区,118.072269,24.441251,"118.072269,24.441251"
B0JRC57RUM,澜庭屿筑,商务住宅;住宅区;住宅小区,120302,鼓浪屿漳州路24号,思明区,118.073626,24.440271,"118.073626,24.440271"
B0FFFRKDRI,厦门市音乐学校教师宿舍楼,商务住宅;住宅区;宿舍,120303,鼓浪屿街道复兴路84号,思明区,118.072540,24.441595,"118.072540,24.441595"
B0IGMH4P27,林家别苑,商务住宅;住宅区;住宅小区,120302,[],思明区,118.070028,24.443147,"118.070028,24.443147"
B0FFF9WIEI,厦门华侨亚热带植物引种园研究生公寓,商务住宅;住宅区;宿舍,120303,鼓声路,思明区,118.064738,24.442462,"118.064738,24.442462"
B0FFFF9OTS,星世界员工之家,商务住宅;住宅区;住宅小区,120302,福建路40号,思明区,118.072509,24.442899,"118.072509,24.442899"
B0FFG8UY40,四十四号别墅,商务住宅;住宅区;别墅,120301,福建路44号附近,思明区,118.072638,24.443492,"118.072638,24.443492"
B0FFF2W9WZ,版筑传芳,商务住宅;住宅区;住宅小区|住宿服务;旅馆招待所;旅馆招待所,120302|100200,泉州路72号,思明区,118.067704,24.444333,"118.067704,24.444333"
B0FFHF21VR,迎熏别墅,商务住宅;住宅区;别墅,120301,福建路28号,思明区,118.073609,24.443177,"118.073609,24.443177"
B02500QE71,龙头商院,商务住宅;住宅区;住宅小区,120302,龙头路84-98号,思明区,118.071837,24.445070,"118.071837,24.445070"
B0FFF6ZOP7,鼓浪屿街道龙头社区,商务住宅;住宅区;社区中心,120304,龙头路84-98号2层,思明区,118.071703,24.445064,"118.071703,24.445064"
B0FFF3BXGI,容谷别墅,商务住宅;住宅区;别墅,120301,旗山路5号,思明区,118.075103,24.443412,"118.075103,24.443412"
B0FFFYJ219,公安宿舍(安海路),商务住宅;住宅区;宿舍,120303,笔山路6号之2号,思明区,118.066237,24.446204,"118.066237,24.446204"
B0KUR79FTY,鸡山路20号小区,商务住宅;住宅区;住宅小区,120302,[],思明区,118.063143,24.446068,"118.063143,24.446068"
B0FFKOTF0Z,福州大学工艺美术学院教工宿舍,商务住宅;住宅区;宿舍,120303,鸡山路35之1号附近,思明区,118.062361,24.446161,"118.062361,24.446161"
B025003L0Z,鼓浪屿街道内厝社区科普楼院(鼓新路),商务住宅;住宅区;住宅小区,120302,鼓新路55A楼,思明区,118.068206,24.450783,"118.068206,24.450783"
