id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
B0FFFZXNN7,海关宿舍(田尾路),商务住宅;住宅区;宿舍,120303,中华路4号,思明区,118.070543,24.439313,"118.070543,24.439313",118.06557666615996,24.44196786734896
B0FFGJXWIB,绿雅居,商务住宅;住宅区;住宅小区,120302,漳州路28号,思明区,118.072269,24.441251,"118.072269,24.441251",118.06730109033983,24.44390418596611
B0JRC57RUM,澜庭屿筑,商务住宅;住宅区;住宅小区,120302,鼓浪屿漳州路24号,思明区,118.073626,24.440271,"118.073626,24.440271",118.06865713141256,24.44292246151258
B0FFFRKDRI,厦门市音乐学校教师宿舍楼,商务住宅;住宅区;宿舍,120303,鼓浪屿街道复兴路84号,思明区,118.07254,24.441595,"118.072540,24.441595",118.06757185300958,24.444247941306593
B0IGMH4P27,林家别苑,商务住宅;住宅区;住宅小区,120302,[],思明区,118.070028,24.443147,"118.070028,24.443147",118.06506184710749,24.445803262782942
B0FFF9WIEI,厦门华侨亚热带植物引种园研究生公寓,商务住宅;住宅区;宿舍,120303,鼓声路,思明区,118.064738,24.442462,"118.064738,24.442462",118.05977730414776,24.44512537616407
B0FFFF9OTS,星世界员工之家,商务住宅;住宅区;住宅小区,120302,福建路40号,思明区,118.072509,24.442899,"118.072509,24.442899",118.06754078351764,24.445552232139566
B0FFG8UY40,四十四号别墅,商务住宅;住宅区;别墅,120301,福建路44号附近,思明区,118.072638,24.443492,"118.072638,24.443492",118.06766964076415,24.44614520000394
B0FFF2W9WZ,版筑传芳,商务住宅;住宅区;住宅小区|住宿服务;旅馆招待所;旅馆招待所,120302|100200,泉州路72号,思明区,118.067704,24.444333,"118.067704,24.444333",118.06273997660644,24.446992529487602
B0FFHF21VR,迎熏别墅,商务住宅;住宅区;别墅,120301,福建路28号,思明区,118.073609,24.443177,"118.073609,24.443177",118.06863993506953,24.445829050524583
B02500QE71,龙头商院,商务住宅;住宅区;住宅小区,120302,龙头路84-98号,思明区,118.071837,24.44507,"118.071837,24.445070",118.06686916234914,24.447724434724783
B0FFF6ZOP7,鼓浪屿街道龙头社区,商务住宅;住宅区;社区中心,120304,龙头路84-98号2层,思明区,118.071703,24.445064,"118.071703,24.445064",118.06673527199527,24.447718591706007
B0FFF3BXGI,容谷别墅,商务住宅;住宅区;别墅,120301,旗山路5号,思明区,118.075103,24.443412,"118.075103,24.443412",118.07013288642771,24.44606250345019
B0FFFYJ219,公安宿舍(安海路),商务住宅;住宅区;宿舍,120303,笔山路6号之2号,思明区,118.066237,24.446204,"118.066237,24.446204",118.06127437075055,24.448865926410992
B0KUR79FTY,鸡山路20号小区,商务住宅;住宅区;住宅小区,120302,[],思明区,118.063143,24.446068,"118.063143,24.446068",118.05818393028005,24.44873449306615
B0FFKOTF0Z,福州大学工艺美术学院教工宿舍,商务住宅;住宅区;宿舍,120303,鸡山路35之1号附近,思明区,118.062361,24.446161,"118.062361,24.446161",118.057402889986,24.448828735072087
B025003L0Z,鼓浪屿街道内厝社区科普楼院(鼓新路),商务住宅;住宅区;住宅小区,120302,鼓新路55A楼,思明区,118.068206,24.450783,"118.068206,24.450783",118.06324101366673,24.45344308394237
B02500S693,龙渊别墅,商务住宅;住宅区;别墅,120301,延平路201-219,思明区,118.068295,24.45054,"118.068295,24.450540",118.0633299437123,24.453199919681428
B0M6J6B7W5,建行花园,商务住宅;住宅区;住宅区,120300,鹭江道与开元路交叉口北120米,思明区,118.072926,24.457293,"118.072926,24.457293",118.0679564286654,24.459948467285965
B0L119M8WJ,巨量佳缘,商务住宅;住宅区;住宅小区,120302,打铁街与开元路交叉口西北80米,思明区,118.07354,24.456719,"118.073540,24.456719",118.06857001254193,24.459373677904328
B0LRP6Q9ZU,打铁街101号,商务住宅;住宅区;住宅小区,120302,打铁街与开元路交叉口西北100米,思明区,118.073723,24.457189,"118.073723,24.457189",118.06875284596842,24.45984356232431
B0FFHMG5N2,磁安公寓,商务住宅;住宅区;住宅小区|住宿服务;旅馆招待所;旅馆招待所,120302|100200,磁安路27号福建省厦门市思明区磁安路27号,思明区,118.073425,24.45866,"118.073425,24.458660",118.0684549573537,24.46131515625958
B0FFGMHZ4M,大同路小区,商务住宅;住宅区;住宅小区,120302,镇邦路与大同路交叉口东南20米,思明区,118.076051,24.455956,"118.076051,24.455956",118.07107938652574,24.458607910655477
B0KU358HY5,开元路129号小区,商务住宅;住宅区;住宅小区,120302,开元路与大元路交叉口西40米,思明区,118.075799,24.457307,"118.075799,24.457307",118.07082744432086,24.459959407659035
B0I6TDP3OA,天能世家,商务住宅;住宅区;住宅小区,120302,大中路与镇邦路交叉口西北40米,思明区,118.076285,24.455601,"118.076285,24.455601",118.07131327097997,24.458252615107817
B025003N8A,声乐小区(鹭江道),商务住宅;住宅区;住宅小区,120302,内厝澳路304-1号,思明区,118.064727,24.448084,"118.064727,24.448084",118.05976591337937,24.4507484768723
B0FFF9EBHQ,康泰小区(康泰路),商务住宅;住宅区;住宅小区,120302,康泰路13之1-之6号,思明区,118.062712,24.448919,"118.062712,24.448919",118.05775325496599,24.451586708497924
B0FFKYR6Q9,华祥苑茗茶,商务住宅;住宅区;住宅小区,120302,升平路与大中路交叉口东20米,思明区,118.077004,24.455079,"118.077004,24.455079",118.07203189175235,24.457729826044076
B0LRG9TRW9,厦门鹭云居(中山路步行街店),商务住宅;住宅区;住宅小区,120302,大中路鹭云居嘉年华大厦,思明区,118.07744,24.455234,"118.077440,24.455234",118.07246764017417,24.457884445237433
B0FFG718ES,龙泽别墅,商务住宅;住宅区;别墅,120301,延平路21号,思明区,118.070701,24.447027,"118.070701,24.447027",118.06573397490114,24.449683176294823
B0L0MZ9546,亦乐小苑,商务住宅;住宅区;住宅小区,120302,土崎巷49号,思明区,118.077081,24.456003,"118.077081,24.456003",118.0721087822068,24.45865392229149
B0FFHKFUA9,顶峰·鹭江1号,商务住宅;住宅区;住宅区,120300,厦禾路5、7、9、11号,思明区,118.074484,24.460891,"118.074484,24.460891",118.06951304501014,24.4635454076663
B0M62HVRBK,文安社区近邻活动室,体育休闲服务;休闲场所;休闲场所|商务住宅;住宅区;社区中心,080500|120304,钓仔路与泰山路交叉口西南40米,思明区,118.077075,24.452325,"118.077075,24.452325",118.07210304988529,24.45497524984395
