name,type,typecode,address,cityname,adname,longitude,latitude,location,tel,pname,id
星巴克(厦门湖里大道店),餐饮服务;咖啡厅;星巴克咖啡|购物服务;购物相关场所;购物相关场所,050501|060000,湖里大道22号中国福建自由贸易试验区厦门片区地上第1层的101-102单元,厦门市,湖里区,118.097642,24.510875,"118.097642,24.510875",0592-5659308,福建省,B0FFI1UANE
星巴克,餐饮服务;咖啡厅;星巴克咖啡,050501,开元街道湖滨南路76号百脑汇科技大厦1层,厦门市,思明区,118.090477,24.468265,"118.090477,24.468265",0592-2390925,福建省,B0FFFRC5FU
星巴克(厦门思明欢乐颂分店),餐饮服务;咖啡厅;星巴克咖啡,050501,七星西路3号思明万象里L1层L101,厦门市,思明区,118.095833,24.486750,"118.095833,24.486750",0592-5073137,福建省,B0IRFCACMI
星巴克(厦门海上世界店),餐饮服务;咖啡厅;星巴克咖啡,050501,西海湾邮轮城7号地块海上世界地上三层L338店铺,厦门市,湖里区,118.075840,24.490395,"118.075840,24.490395",0592-5073899,福建省,B0J395DIVM
星巴克臻选(厦门筼筜路店),餐饮服务;咖啡厅;星巴克咖啡,050501,建业路8号马哥孛罗东方大酒店1层,厦门市,思明区,118.085128,24.474773,"118.085128,24.474773",0592-5124830,福建省,B02500QFJA
星巴克(厦门万象城店),餐饮服务;咖啡厅;星巴克咖啡,050501,湖滨东路99号厦门万象城四楼L429号铺位,厦门市,思明区,118.111550,24.471692,"118.111550,24.471692",0592-5180996,福建省,B0HD29EBI4
星巴克(厦门海沧钟林里分店),餐饮服务;咖啡厅;星巴克咖啡,050501,钟林里374号(马青路地铁站4号口步行70米),厦门市,海沧区,118.029824,24.493321,"118.029824,24.493321",0592-5037737,福建省,B0HAX4LPJ8
星巴克臻选(厦门帝景苑分店),餐饮服务;甜品店;甜品店,050900,湖滨南路5号帝景苑104单元L1-6商铺,厦门市,思明区,118.079538,24.467120,"118.079538,24.467120",0592-5199329,福建省,B0L1DHTVFY
星巴克(厦门禹悦汇店),餐饮服务;咖啡厅;星巴克咖啡,050501,厦禾路882-889号世贸中心b1栋1层,厦门市,思明区,118.113362,24.467982,"118.113362,24.467982",0592-2234155,福建省,B0L61ZJZRK
星巴克(厦门湾悦城店),餐饮服务;咖啡厅;星巴克咖啡,050501,钟宅西三路日圆里1号厦门湾悦城2号楼地上2层L2-19单元,厦门市,湖里区,118.162188,24.516669,"118.162188,24.516669",0592-5227776,福建省,B0FFHH3EIC
星巴克臻选(厦门鹭江道店),餐饮服务;咖啡厅;星巴克咖啡,050501,鹭江道18号新领荟广场1层M101单元2层M210B、3层M301B、4层M401A,厦门市,思明区,118.076515,24.451860,"118.076515,24.451860",0592-2116731,福建省,B025004M4V
星巴克(厦门SM新生活广场店),餐饮服务;咖啡厅;星巴克咖啡,050501,嘉禾路399号SM新生活广场A栋A110单元,厦门市,思明区,118.125100,24.499330,"118.125100,24.499330",0592-5332925,福建省,B02500QG6L
星巴克(厦门汇腾天虹广场分店),餐饮服务;咖啡厅;星巴克咖啡,050501,嘉禾路323号厦门汇腾天虹广场地上一层第10010号商铺,厦门市,思明区,118.127292,24.491074,"118.127292,24.491074",0592-5021065,福建省,B0GRUP594X
星巴克(厦门双涵分店),餐饮服务;咖啡厅;星巴克咖啡,050501,厦禾路983号102单元,厦门市,思明区,118.118186,24.472780,"118.118186,24.472780",0592-5860630,福建省,B0FFF00R02
星巴克臻选(厦门中华城分店),餐饮服务;咖啡厅;星巴克咖啡,050501,思明南路195号中华城南区31B1055b铺位区,厦门市,思明区,118.083089,24.452616,"118.083089,24.452616",0592-2079051,福建省,B0FFF00UNJ
星巴克(演武路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,演武西路182号世贸海峡大厦第一层101单元,厦门市,思明区,118.088775,24.435975,"118.088775,24.435975",0592-2087611,福建省,B0FFHI09VD
星巴克臻选(厦门磐基中心店),餐饮服务;咖啡厅;星巴克咖啡,050501,莲岳路1号磐基中心G层07单元(莲花路口),厦门市,思明区,118.121120,24.481658,"118.121120,24.481658",0592-5330187,福建省,B02500QFI5
星巴克(帝景苑店),餐饮服务;咖啡厅;星巴克咖啡,050501,湖滨南路5号帝景苑104单元L1-6商铺,厦门市,思明区,118.079538,24.467120,"118.079538,24.467120",0592-5199329,福建省,B0JKDP6FNK
星巴克(厦门中山路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,中山路12号-14号一楼,厦门市,思明区,118.075939,24.453344,"118.075939,24.453344",0592-2128368,福建省,B0HR5ABDHC
星巴克(天虹购物中心五缘湾店),餐饮服务;咖啡厅;星巴克咖啡,050501,金湖路516号乐群广场零售商区地上第一层的1001单元,厦门市,湖里区,118.160515,24.510537,"118.160515,24.510537",0592-5717832,福建省,B0FFKNXA35
星巴克(源通中心店),餐饮服务;咖啡厅;星巴克咖啡|购物服务;购物相关场所;购物相关场所,050501|060000,厦禾路278号一层和268号二层201室,厦门市,思明区,118.079298,24.459570,"118.079298,24.459570",0592-2125007,福建省,B0FFF00PFO
星巴克(体育路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,体育路88号第1层的B单元,厦门市,思明区,118.110126,24.488085,"118.110126,24.488085",0592-5096372,福建省,B0FFFECZ3U
星巴克(厦门软件园分店),餐饮服务;咖啡厅;星巴克咖啡,050501,观日路54号软件园二期地上第1层的107单元,厦门市,思明区,118.185562,24.482846,"118.185562,24.482846",0592-5937252,福建省,B02500TRZD
星巴克(厦门湖里万达广场店),餐饮服务;咖啡厅;星巴克咖啡,050501,仙岳路4666号厦门湖里万达广场5号门2楼,厦门市,湖里区,118.177120,24.503679,"118.177120,24.503679",0592-5534438,福建省,B02500VG5E
星巴克(厦门钟岭路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,钟岭路68号瑞丰里1层10号,厦门市,湖里区,118.160596,24.532072,"118.160596,24.532072",0592-5222177,福建省,B0FFKNX9VC
星巴克(厦门象屿龙山汇分店),餐饮服务;咖啡厅;星巴克咖啡,050501,龙山南路4号象屿龙山汇一层1102,厦门市,思明区,118.134908,24.484375,"118.134908,24.484375",0592-5210812,福建省,B0G1BC84VF
星巴克(老虎城分店),餐饮服务;咖啡厅;星巴克咖啡,050501,思明南路118号地上一层A幢,厦门市,思明区,118.081122,24.452808,"118.081122,24.452808",0592-2027179,福建省,B0FFIZCYKD
星巴克(吕岭路店),餐饮服务;咖啡厅;星巴克咖啡,050501,吕岭路1068号厦门蔡塘爱琴海购物中心A-29号店铺,厦门市,湖里区,118.155996,24.485553,"118.155996,24.485553",0592-5963659,福建省,B0FFFKGOLN
星巴克(瑞景商业广场店),餐饮服务;咖啡厅;星巴克咖啡,050501,莲前东路288号瑞景商业广场1F,厦门市,思明区,118.160080,24.475166,"118.160080,24.475166",0592-5980844,福建省,B02500QF0T
星巴克(厦门金湖路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,禾山街道金湖路101号五缘湾乐都汇购物广场1001号,厦门市,湖里区,118.160110,24.512046,"118.160110,24.512046",0592-5762661,福建省,B02500TBYB
星巴克(厦门和美天地店),餐饮服务;餐饮相关场所;餐饮相关,050000,诚毅大街351号(诚毅广场地铁站4号口步行370米),厦门市,集美区,118.051725,24.605825,"118.051725,24.605825",0592-6099866,福建省,B0LATU3JNP
星巴克(天虹购物中心厦门筼筜店),餐饮服务;甜品店;甜品店,050900,莲岳路221号天虹购物中心厦门筼筜店F1层,厦门市,思明区,118.113175,24.491675,"118.113175,24.491675",0592-5986562,福建省,B0KKMLL82B
星巴克(厦门火炬新科广场店),餐饮服务;咖啡厅;星巴克咖啡,050501,坂上社37号火炬新科广场2号楼地上一层101店铺,厦门市,湖里区,118.143825,24.525925,"118.143825,24.525925",0592-5196978,福建省,B0JBT52BFZ
星巴克(厦门高崎国际机场店),餐饮服务;咖啡厅;星巴克咖啡,050501,高崎机场T3航站楼安检内F3层T3-W-52地块,厦门市,湖里区,118.130875,24.533925,"118.130875,24.533925",0592-5711206,福建省,B0FFGFOZVY
星巴克(厦门磐基莲花里分店),餐饮服务;咖啡厅;星巴克咖啡,050501,莲花北路1号磐基·莲花里地上一层112单元,厦门市,思明区,118.127587,24.484591,"118.127587,24.484591",0592-5211011,福建省,B0HB9ZDRIP
星巴克(海沧天虹店),餐饮服务;咖啡厅;星巴克咖啡,050501,沧林东路天虹商场地上一层1033-1036铺位,厦门市,海沧区,118.048529,24.491469,"118.048529,24.491469",0592-6051728,福建省,B0FFHLJNOU
星巴克(厦门COCOPark店),餐饮服务;咖啡厅;星巴克咖啡,050501,展鸿路85号厦门星河Coco Park地上一层146-147铺位,厦门市,思明区,118.189394,24.475108,"118.189394,24.475108",0592-5198767,福建省,B0JGGHLFKO
星巴克(厦门万科云城分店),餐饮服务;咖啡厅;星巴克咖啡,050501,龙荷二里1号地上第一层的B7-104.1-105.106.107单元,厦门市,集美区,118.080850,24.605318,"118.080850,24.605318",0592-6100068,福建省,B0FFJOCSD5
星巴克(厦门万达鹭港分店),餐饮服务;咖啡厅;星巴克咖啡,050501,长浩东路11号万达鹭港B3栋地上一楼1020店铺,厦门市,湖里区,118.109684,24.522297,"118.109684,24.522297",0592-5052533,福建省,B0IKPR2LF4
星巴克(厦门灌口万达广场店),餐饮服务;咖啡厅;星巴克咖啡,050501,灌口镇金龙东路与鱼孚路交叉口西南侧灌口万达广场地上一层1017单元,厦门市,集美区,117.999204,24.610709,"117.999204,24.610709",0592-6062205,福建省,B0HK7ML8E9
星巴克(厦门思明软件园一期店),餐饮服务;咖啡厅;星巴克咖啡,050501,曾厝埯北路1号软件园1期105-3铺位,厦门市,思明区,118.114991,24.432227,"118.114991,24.432227",0592-2072977,福建省,B0IKRCPZXQ
星巴克(港汇商业店),餐饮服务;咖啡厅;星巴克咖啡,050501,南海三路1101号港汇生活广场地上一层117铺,厦门市,海沧区,118.024441,24.477009,"118.024441,24.477009",0592-5196362;4008206998,福建省,B0JR4D1H4T
星巴克(厦门龙虎山路分店),餐饮服务;咖啡厅;星巴克咖啡,050501,龙虎山路8号厦门佳逸希尔顿格芮精选酒店地上一层西北侧单元,厦门市,思明区,118.121147,24.429844,"118.121147,24.429844",0592-2510682,福建省,B0G1BC9VAR
星巴克臻选厦门宝龙一城分店,餐饮服务;咖啡厅;星巴克咖啡,050501,金山路1号M-F1-009-1单元,厦门市,思明区,118.173839,24.486277,"118.173839,24.486277",0592-5081768,福建省,B0FFK62BK3
星巴克(SM城市广场1期店),餐饮服务;咖啡厅;星巴克咖啡,050501,嘉禾路401号SM三期地上一层105a号铺位厦门SM三期分店,厦门市,湖里区,118.126891,24.501776,"118.126891,24.501776",0592-5534264,福建省,B0FFF3DATB
星巴克(厦门集美万科里店),餐饮服务;咖啡厅;星巴克咖啡,050501,杏林街道宁海一里杏林万科里商场L101-L102,厦门市,集美区,118.060772,24.561805,"118.060772,24.561805",0592-6226031,福建省,B0FFHIY4RP
星巴克厦门国贸金融中心分店,餐饮服务;咖啡厅;星巴克咖啡,050501,仙岳路4686号,厦门市,湖里区,118.179848,24.506765,"118.179848,24.506765",0592-5988963,福建省,B0FFIII8KO
星巴克(文灶地铁社区店),餐饮服务;甜品店;甜品店,050900,梧村街道滨中社区禾祥东一里1-38号文灶地铁社区,厦门市,思明区,118.102995,24.469813,"118.102995,24.469813",0592-5190791,福建省,B0K6ROEGD2
星巴克(厦门SM三期分店),餐饮服务;咖啡厅;星巴克咖啡,050501,嘉禾路401号SM三期地上一层105a号铺位,厦门市,思明区,118.124798,24.501487,"118.124798,24.501487",0592-5191812,福建省,B0J2T53POK
星巴克(厦门君尚广场分店),餐饮服务;咖啡厅;星巴克咖啡,050501,环岛东路1702号君尚广场1层,厦门市,思明区,118.192179,24.476357,"118.192179,24.476357",0592-5285508,福建省,B0FFJBMIX4
星巴克(凤凰花城锦鲤店),餐饮服务;咖啡厅;星巴克咖啡,050501,杏前路262-101号万达广场厦门杏林店F1层,厦门市,集美区,118.015125,24.589775,"118.015125,24.589775",0592-6053326,福建省,B0K11OGW6O
星巴克臻选(厦门SM三期分店),餐饮服务;甜品店;甜品店,050900,嘉禾路401号SM三期地上一层105a号铺位,厦门市,思明区,118.125511,24.499279,"118.125511,24.499279",0592-5191812,福建省,B0L13Z5HMP
星巴克(iOiMALL店),餐饮服务;咖啡厅;星巴克咖啡,050501,滨水中五里3-101号,厦门市,集美区,118.074883,24.600158,"118.074883,24.600158",0592-6287606,福建省,B0H3DURSRG
星巴克臻选(厦门大悦城分店),餐饮服务;咖啡厅;星巴克咖啡,050501,杏林湾路333号厦门大悦城1层L112号,厦门市,集美区,118.055697,24.592448,"118.055697,24.592448",0592-6066358,福建省,B0L1D7VCEU
星巴克(厦门海沧招商花园城店),餐饮服务;咖啡厅;星巴克咖啡,050501,新阳街道新景东里200号海沧花园城一层L1001铺厦门海沧花园城分店,厦门市,海沧区,117.996134,24.536861,"117.996134,24.536861",0592-5192838,福建省,B0J2T56JQ8
星巴克(厦门北站3A检票口),餐饮服务;咖啡厅;星巴克咖啡,050501,后溪镇珩圣路386号厦门北站2F层,厦门市,集美区,118.073692,24.635075,"118.073692,24.635075",0592-7023772,福建省,B0IGORKDW9
星巴克厦门航空古地石广场店,餐饮服务;咖啡厅;星巴克咖啡,050501,航空古地石广场地上一层A122店铺,厦门市,湖里区,118.168070,24.493103,"118.168070,24.493103",0592-5190929,福建省,B0JGVCZKU1
